	Standard Value	Duplicate	Molecule Max Phase	Molecular Weight	#RO5 Violations	AlogP	Compound Key	Smiles	Standard Type	Standard Relation	Standard Units	pChEMBL Value	Ligand Efficiency BEI	Ligand Efficiency LE	Ligand Efficiency LLE	Ligand Efficiency SEI	Potential Duplicate	Assay Description	BAO Label	Assay Organism	Assay Cell Type	Source ID	Properties	Action Type
CHEMBL3901639	101	FALSE	None	304.38	0	0.77	BDBM214009	C[S+]([O-])c1nccc(Cc2n[nH]c(=O)c3c2CCCC3)n1	Ki	='	nM	7	22.98	0.45	6.23	7.4	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL362322	9.1	FALSE	None	337.35	0	3.39	49	C/C(=N/O)c1c(-c2ccc(F)cc2)n2c3c(cccc13)C(=O)NCC2	Ki	='	nM	8.04	23.84	0.44	4.65	12.07	0	Inhibition of human Poly (ADP-ribose) polymerase 1 enzyme	single protein format	Homo sapiens	None	1		
CHEMBL2204335	9.1	FALSE	None	337.35	0	3.39	422	C/C(=N\O)c1c(-c2ccc(F)cc2)n2c3c(cccc13)C(=O)NCC2	Ki	='	nM	8.04	23.84	0.44	4.65	12.07	0	Inhibition of human PARP-1	single protein format	Homo sapiens	None	1		
CHEMBL189466	39	FALSE	None	243.27	0	1.58	33	C/C(=N\O)c1cn2c3c(cccc13)C(=O)NCC2	Ki	='	nM	7.41	30.46	0.56	5.83	11.12	1	Inhibition of human Poly (ADP-ribose) polymerase 1 enzyme	single protein format	Homo sapiens	None	1		
	39	TRUE	None	243.27	0	1.58	417	C/C(=N\O)c1cn2c3c(cccc13)C(=O)NCC2	Ki	='	nM	7.41	30.46	0.56	5.83	11.12	0	Inhibition of human PARP-1	single protein format	Homo sapiens	None	1		
CHEMBL134116	9.4	FALSE	None	323.35	0	2.9	87	C=CCOc1cc(-c2nc3c(C(N)=O)cccc3[nH]2)ccc1OC	Ki	='	nM	8.03	24.82	0.46	5.13	8.9	0	In vitro inhibition against human full length PARP protein	single protein format	None	None	1		
CHEMBL362516	306	FALSE	None	322.34	0	3.39	48	CC(=O)c1c(-c2ccc(F)cc2)n2c3c(cccc13)C(=O)NCC2	Ki	='	nM	6.51	20.21	0.37	3.12	12.75	0	Inhibition of human Poly (ADP-ribose) polymerase 1 enzyme	single protein format	Homo sapiens	None	1		
CHEMBL3980930	40	FALSE	None	401.47	0	3.69	BDBM214163	CC(=O)c1ccc(C(=O)Nc2cccc(Cc3n[nH]c(=O)c4c3CCCC4)c2)cc1	Ki	='	nM	7.4	18.43	0.34	3.71	8.05	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL187667	606	FALSE	None	228.25	0	1.59	32	CC(=O)c1cn2c3c(cccc13)C(=O)NCC2	Ki	='	nM	6.22	27.24	0.5	4.63	12.17	0	Inhibition of human Poly (ADP-ribose) polymerase 1 enzyme	single protein format	Homo sapiens	None	1		
CHEMBL3937647	1.3	FALSE	None	385.44	0	3.08	BDBM214385	CC(=O)CCCC(=O)Nc1cc(Cc2n[nH]c(=O)c3c2CCCC3)ccc1F	Ki	='	nM	8.89	23.05	0.43	5.81	9.67	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL2058686	4	FALSE	None	386.43	0	2.56	8j	CC(=O)CCCC(=O)Nc1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F	Ki	='	nM	8.4	21.73	0.41	5.84	8.08	1	Inhibition of PARP1 using [3H]NAD+ after 1 hr by scintillation counting	single protein format	Homo sapiens	None	1		
	4	TRUE	None	386.43	0	2.56	BDBM50387923	CC(=O)CCCC(=O)Nc1cc(Cc2n[nH]c(=O)c3c2NCCC3)ccc1F	Ki	='	nM	8.4	21.73	0.41	5.84	8.08	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3968163	6	FALSE	None	427.48	0	1.55	BDBM214488	CC(=O)N(C)C1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)C1	Ki	='	nM	8.22	19.23	0.36	6.67	8.36	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3954734	124	FALSE	None	410.52	0	2.73	BDBM214095	CC(=O)N[C@@H](CC(C)C)C(=O)Nc1cccc(Cc2n[nH]c(=O)c3c2CCCC3)c1	Ki	='	nM	6.91	16.82	0.31	4.18	6.64	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3928161	126	FALSE	None	408.5	0	2.44	BDBM214093	CC(=O)N1CCC(C(=O)Nc2cccc(Cc3n[nH]c(=O)c4c3CCCC4)c2)CC1	Ki	='	nM	6.9	16.89	0.31	4.46	7.25	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL460268	59	FALSE	None	286.33	0	1.39	10f	CC(=O)N1CCC(c2nc3c(C(N)=O)cccc3[nH]2)CC1	Ki	='	nM	7.23	25.25	0.47	5.84	7.85	0	Inhibition of PARP1	single protein format	None	None	1		
CHEMBL3889630	0.1	FALSE	None	412.47	0	1.68	BDBM213913	CC(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3CCCC4)ccc2F)CC1	Ki	='	nM	10	24.24	0.46	8.32	11.58	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
	0.1	TRUE	None	412.47	0	1.68	BDBM213913	CC(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3CCCC4)ccc2F)CC1	Ki	='	nM	10	24.24	0.46	8.32	11.58	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL2058918	1.3	FALSE	None	413.45	0	1.16	20m	CC(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)CC1	Ki	='	nM	8.89	21.49	0.4	7.73	9.03	0	Inhibition of PARP1 using [3H]NAD+ after 1 hr by scintillation counting	single protein format	Homo sapiens	None	1		
	1.4	TRUE	None	413.45	0	1.16	BDBM50387937	CC(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3NCCC4)ccc2F)CC1	Ki	='	nM	8.85	21.41	0.4	7.69	9	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3959527	3	FALSE	None	394.48	0	1.54	BDBM213912	CC(=O)N1CCN(C(=O)c2cccc(Cc3n[nH]c(=O)c4c3CCCC4)c2)CC1	Ki	='	nM	8.52	21.61	0.4	6.98	9.87	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
	3	TRUE	None	394.48	0	1.54	BDBM213912	CC(=O)N1CCN(C(=O)c2cccc(Cc3n[nH]c(=O)c4c3CCCC4)c2)CC1	Ki	='	nM	8.52	21.61	0.4	6.98	9.87	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3904262	57	FALSE	None	416.48	0	3.45	BDBM214171	CC(=O)Nc1ccc(C(=O)Nc2cccc(Cc3n[nH]c(=O)c4c3CCCC4)c2)cc1	Ki	='	nM	7.24	17.39	0.32	3.79	6.97	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3896329	683	FALSE	None	419.5	0	4.76	BDBM214233	CC(=O)Nc1cccc(-c2cc(C(C)Cc3n[nH]c(=O)c4c3CCCC4)ccc2F)c1	Ki	='	nM	6.17	14.7	0.27	1.41	8.24	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3920506	2	FALSE	None	391.45	0	4	BDBM214185	CC(=O)Nc1cccc(-c2cc(Cc3n[nH]c(=O)c4c3CCCC4)ccc2F)c1	Ki	='	nM	8.7	22.22	0.41	4.7	11.62	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3934312	222	FALSE	None	405.47	0	4.2	BDBM214211	CC(=O)Nc1cccc(-c2cc(CCc3n[nH]c(=O)c4c3CCCC4)ccc2F)c1	Ki	='	nM	6.65	16.41	0.3	2.45	8.89	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3973398	58	FALSE	None	387.48	0	4.43	BDBM214223	CC(=O)Nc1cccc(-c2cccc(C(C)c3n[nH]c(=O)c4c3CCCC4)c2)c1	Ki	='	nM	7.24	18.68	0.34	2.81	9.67	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3962419	2210	FALSE	None	401.51	0	4.62	BDBM214221	CC(=O)Nc1cccc(-c2cccc(C(C)Cc3n[nH]c(=O)c4c3CCCC4)c2)c1	Ki	='	nM	5.66	14.09	0.26	1.04	7.56	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3937699	1	FALSE	None	454.55	0	2.71	BDBM214483	CC(C)(C)C(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4c3CCCC4)ccc2F)CC1	Ki	='	nM	9	19.8	0.37	6.29	10.42	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
