Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
CHEMBL3961474,O=C(N1CCCC1)N1CCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1CCCC2,C25H30FN5O3,467.54,34,12,0.52,6,5,1,137.15,89.61,3.49,1.92,1.63,3.24,3.83,2.82,-3.81,7.18e-02,1.54e-04,Soluble,-3.43,1.76e-01,3.75e-04,Soluble,-5.85,6.57e-04,1.41e-06,Moderately soluble,High,No,Yes,No,No,Yes,Yes,Yes,-7.79,0,1,0,0,0,0.55,0,0,1,3.83
CHEMBL3962134,Fc1ccc(cc1)N1CCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1CCCC2,C26H26F2N4O2,464.51,34,18,0.35,5,5,1,132.83,69.30,3.45,3.85,3.56,4.30,5.56,4.14,-5.21,2.88e-03,6.21e-06,Moderately soluble,-5.00,4.63e-03,9.96e-06,Moderately soluble,-8.26,2.57e-06,5.53e-09,Poorly soluble,High,Yes,Yes,No,Yes,Yes,Yes,Yes,-6.40,1,1,0,0,0,0.55,0,0,2,3.58
CHEMBL3955721,Fc1cccc(c1)N1CCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1CCCC2,C26H26F2N4O2,464.51,34,18,0.35,5,5,1,132.83,69.30,3.48,3.85,3.56,4.30,5.56,4.15,-5.21,2.88e-03,6.21e-06,Moderately soluble,-5.00,4.63e-03,9.96e-06,Moderately soluble,-8.26,2.57e-06,5.53e-09,Poorly soluble,High,Yes,Yes,No,Yes,Yes,Yes,Yes,-6.40,1,1,0,0,0,0.55,0,0,2,3.59
CHEMBL3930456,Fc1ccc(cc1C(=O)N1CCN(CC1)C1CCCC1)Cc1n[nH]c(=O)c2c1CCCC2,C25H31FN4O2,438.54,32,12,0.56,5,5,1,129.75,69.30,3.75,3.23,2.74,3.68,5.01,3.68,-4.54,1.26e-02,2.88e-05,Moderately soluble,-4.36,1.92e-02,4.38e-05,Moderately soluble,-6.64,9.95e-05,2.27e-07,Poorly soluble,High,Yes,Yes,No,Yes,Yes,Yes,Yes,-6.68,0,0,0,0,0,0.55,0,0,1,3.73
CHEMBL2058930,Fc1ccc(cc1C(=O)N1CCN(CC1)c1ccccn1)Cc1n[nH]c(=O)c2c1CCCC2,C25H26FN5O2,447.50,33,18,0.36,5,5,1,130.66,82.19,2.40,3.01,2.39,3.33,4.57,3.14,-4.58,1.17e-02,2.60e-05,Moderately soluble,-4.40,1.78e-02,3.97e-05,Moderately soluble,-7.62,1.07e-05,2.39e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.89,0,1,0,0,0,0.55,0,0,1,3.62
CHEMBL3942547,Fc1ccc(cc1C(=O)N1CCN(CC1)c1ccncc1)Cc1n[nH]c(=O)c2c1CCCC2,C25H26FN5O2,447.50,33,18,0.36,5,5,1,130.66,82.19,3.01,2.67,2.39,2.93,4.57,3.12,-4.37,1.91e-02,4.26e-05,Moderately soluble,-4.05,4.01e-02,8.96e-05,Moderately soluble,-7.62,1.07e-05,2.39e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.13,0,1,0,0,0,0.55,0,0,1,3.57
CHEMBL3934902,Fc1ccc(cc1C(=O)N1CCN(CC1)c1cnccn1)Cc1n[nH]c(=O)c2c1CCCC2,C24H25FN6O2,448.49,33,18,0.38,5,6,1,128.46,95.08,2.57,1.94,1.79,2.34,4.00,2.53,-3.92,5.44e-02,1.21e-04,Soluble,-3.56,1.23e-01,2.75e-04,Soluble,-7.25,2.53e-05,5.64e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.66,0,0,0,0,0,0.55,0,0,1,3.70
CHEMBL1986530,Fc1ccc(cc1C(=O)N1CCN(CC1)c1ncccn1)Cc1n[nH]c(=O)c2c1CCCC2,C24H25FN6O2,448.49,33,18,0.38,5,6,1,128.46,95.08,2.52,2.36,1.79,2.74,4.00,2.68,-4.18,2.96e-02,6.59e-05,Moderately soluble,-4.00,4.52e-02,1.01e-04,Soluble,-7.25,2.53e-05,5.64e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.36,0,0,0,0,0,0.55,0,0,1,3.57
CHEMBL3977588,Fc1ccc(cc1C(=O)N1CCN(CC1)c1ncncn1)Cc1n[nH]c(=O)c2c1CCCC2,C23H24FN7O2,449.48,33,18,0.39,5,7,1,126.25,107.97,3.10,2.13,1.18,2.16,3.44,2.40,-4.04,4.08e-02,9.07e-05,Moderately soluble,-4.03,4.21e-02,9.36e-05,Moderately soluble,-6.88,5.98e-05,1.33e-07,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.53,0,0,0,0,0,0.55,0,0,1,3.56
CHEMBL3890212,Fc1ccc(cc1C(=O)N1CCN(CC1)CCN1CCOCC1)Cc1n[nH]c(=O)c2c1CCCC2,C26H34FN5O3,483.58,35,12,0.58,7,7,1,142.45,81.77,3.20,1.63,0.75,2.30,4.27,2.43,-3.66,1.07e-01,2.20e-04,Soluble,-2.96,5.30e-01,1.10e-03,Soluble,-6.44,1.77e-04,3.66e-07,Poorly soluble,High,No,Yes,No,No,No,Yes,Yes,-8.09,0,2,0,0,0,0.55,0,0,1,4.02
CHEMBL3935873,Fc1ccc(cc1C(=O)N1CCN(CC1)CCOc1ccccc1)Cc1n[nH]c(=O)c2c1CCCC2,C28H31FN4O3,490.57,36,18,0.39,8,6,1,143.45,78.53,3.95,3.63,2.87,3.53,5.47,3.89,-5.01,4.79e-03,9.76e-06,Moderately soluble,-4.97,5.29e-03,1.08e-05,Moderately soluble,-8.50,1.55e-06,3.17e-09,Poorly soluble,High,Yes,Yes,No,Yes,Yes,Yes,Yes,-6.72,0,2,0,0,0,0.55,0,0,3,3.90
CHEMBL3957957,Fc1ccc(cc1C(=O)N1CCN(CC1)S(=O)(=O)c1ccccc1)Cc1n[nH]c(=O)c2c1CCCC2,C26H27FN4O4S,510.58,36,18,0.35,6,7,1,140.44,111.82,3.34,2.77,3.26,3.01,3.97,3.27,-4.72,9.62e-03,1.88e-05,Moderately soluble,-4.77,8.59e-03,1.68e-05,Moderately soluble,-7.85,7.18e-06,1.41e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,No,Yes,-7.45,1,2,0,0,0,0.55,0,0,1,3.87
CHEMBL3917313,OC1CCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1NCCC2,C20H23FN4O3,386.42,28,12,0.45,4,5,3,109.45,98.32,2.38,1.22,0.92,2.08,3.28,1.98,-3.06,3.38e-01,8.76e-04,Soluble,-2.88,5.07e-01,1.31e-03,Soluble,-5.44,1.39e-03,3.60e-06,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-7.79,0,0,0,0,0,0.55,0,0,1,3.36
CHEMBL3925437,O=C(C1NCSC1)N1CCCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1NCCC2,C24H29FN6O3S,500.59,35,12,0.50,6,6,3,146.72,135.73,2.88,1.13,-0.10,1.71,3.17,1.76,-3.51,1.54e-01,3.07e-04,Soluble,-3.57,1.33e-01,2.67e-04,Soluble,-6.18,3.28e-04,6.55e-07,Poorly soluble,High,No,Yes,No,No,No,No,Yes,-8.55,1,2,0,1,0,0.55,0,0,1,4.52
CHEMBL3936400,O=C(N1CCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1NCCC2)C1CSCN1,C23H27FN6O3S,486.56,34,12,0.48,6,6,3,141.91,135.73,2.85,0.78,-0.49,1.50,2.95,1.52,-3.21,2.98e-01,6.12e-04,Soluble,-3.21,2.99e-01,6.15e-04,Soluble,-5.92,5.85e-04,1.20e-06,Moderately soluble,High,No,Yes,No,No,No,No,Yes,-8.71,0,3,0,1,0,0.55,0,0,1,4.39
CHEMBL2058919,O=C(C(F)(F)F)N1CCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1NCCC2,C21H21F4N5O3,467.42,33,12,0.43,6,8,2,120.30,98.40,2.71,1.74,2.05,2.17,3.66,2.47,-3.71,9.17e-02,1.96e-04,Soluble,-3.42,1.76e-01,3.77e-04,Soluble,-6.07,4.02e-04,8.59e-07,Poorly soluble,High,No,Yes,No,No,No,No,Yes,-7.92,0,0,0,0,0,0.55,0,0,1,3.51
CHEMBL2058917,O=C(N1CCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1NCCC2)C1CC1,C23H26FN5O3,439.48,32,12,0.48,6,5,2,127.61,98.40,3.02,1.08,0.58,2.28,3.52,2.09,-3.13,3.28e-01,7.47e-04,Soluble,-2.74,8.03e-01,1.83e-03,Soluble,-5.81,6.85e-04,1.56e-06,Moderately soluble,High,No,Yes,No,No,No,Yes,Yes,-8.21,0,0,0,0,0,0.55,0,0,1,3.61
CHEMBL3927345,O=C(N1CCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1NCCC2)C1CCCO1,C24H28FN5O4,469.51,34,12,0.50,6,6,2,133.50,107.63,3.20,1.03,0.41,1.71,3.35,1.94,-3.27,2.55e-01,5.43e-04,Soluble,-2.88,6.19e-01,1.32e-03,Soluble,-5.80,7.51e-04,1.60e-06,Moderately soluble,High,No,Yes,No,No,No,Yes,Yes,-8.43,0,1,0,0,0,0.55,0,0,1,4.23
CHEMBL3974706,O=C(N1CCCC1)N1CCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1NCCC2,C24H29FN6O3,468.52,34,12,0.50,6,5,2,139.61,101.64,3.20,1.12,0.54,2.52,2.87,2.05,-3.32,2.27e-01,4.83e-04,Soluble,-2.85,6.65e-01,1.42e-03,Soluble,-5.62,1.12e-03,2.38e-06,Moderately soluble,High,No,Yes,No,No,No,No,Yes,-8.36,0,1,0,0,0,0.55,0,0,1,3.86
CHEMBL3912528,Fc1ccc(c(c1)F)N1CCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1NCCC2,C25H24F3N5O2,483.49,35,18,0.32,5,6,2,135.25,81.33,2.89,3.14,3.03,3.93,5.02,3.60,-4.87,6.58e-03,1.36e-05,Moderately soluble,-4.52,1.47e-02,3.04e-05,Moderately soluble,-8.29,2.49e-06,5.14e-09,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.02,0,2,0,0,0,0.55,0,0,1,3.66
CHEMBL3949287,Fc1cccc(c1)N1CCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1NCCC2,C25H25F2N5O2,465.50,34,18,0.32,5,5,2,135.29,81.33,2.63,3.04,2.47,3.56,4.60,3.26,-4.70,9.22e-03,1.98e-05,Moderately soluble,-4.41,1.80e-02,3.86e-05,Moderately soluble,-8.03,4.35e-06,9.35e-09,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.98,0,1,0,0,0,0.55,0,0,1,3.64
CHEMBL2058915,Fc1ccc(cc1C(=O)N1CCN(CC1)C1CCCC1)Cc1n[nH]c(=O)c2c1NCCC2,C24H30FN5O2,439.53,32,12,0.54,5,5,2,132.21,81.33,3.62,2.43,1.65,2.94,4.05,2.94,-4.04,3.98e-02,9.05e-05,Moderately soluble,-3.78,7.28e-02,1.66e-04,Soluble,-6.42,1.69e-04,3.84e-07,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.26,0,1,0,0,0,0.55,0,0,1,3.77
CHEMBL2058923,Fc1ccc(cc1C(=O)N1CCN(CC1)c1ccccc1)Cc1n[nH]c(=O)c2c1NCCC2,C25H26FN5O2,447.50,33,18,0.32,5,4,2,135.34,81.33,3.22,2.94,1.91,3.19,4.18,3.09,-4.54,1.29e-02,2.88e-05,Moderately soluble,-4.31,2.19e-02,4.90e-05,Moderately soluble,-7.77,7.63e-06,1.71e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.94,0,1,0,0,0,0.55,0,0,1,3.64
CHEMBL3896377,Fc1ccc(cc1C(=O)N1CCN(CC1)c1ccccc1Cl)Cc1n[nH]c(=O)c2c1NCCC2,C25H25ClFN5O2,481.95,34,18,0.32,5,4,2,140.35,81.33,3.44,3.57,2.56,3.67,4.82,3.61,-5.14,3.50e-03,7.26e-06,Moderately soluble,-4.96,5.24e-03,1.09e-05,Moderately soluble,-8.35,2.16e-06,4.49e-09,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.71,0,2,0,0,0,0.55,0,0,2,3.66
CHEMBL2058926,Fc1ccc(cc1C(=O)N1CCN(CC1)c1ccccn1)Cc1n[nH]c(=O)c2c1NCCC2,C24H25FN6O2,448.49,33,18,0.33,5,5,2,133.13,94.22,2.95,2.21,1.30,2.61,3.61,2.54,-4.09,3.67e-02,8.19e-05,Moderately soluble,-3.82,6.74e-02,1.50e-04,Soluble,-7.39,1.81e-05,4.04e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.47,0,1,0,0,0,0.55,0,0,1,3.66
CHEMBL2058925,Fc1ccc(cc1C(=O)N1CCN(CC1)c1cccnc1)Cc1n[nH]c(=O)c2c1NCCC2,C24H25FN6O2,448.49,33,18,0.33,5,5,2,133.13,94.22,2.85,1.87,1.30,2.20,3.61,2.37,-3.87,6.02e-02,1.34e-04,Soluble,-3.47,1.52e-01,3.39e-04,Soluble,-7.39,1.81e-05,4.04e-08,Poorly soluble,High,No,Yes,No,No,Yes,Yes,Yes,-7.71,0,1,0,0,0,0.55,0,0,1,3.65
CHEMBL2058927,Fc1ccc(cc1C(=O)N1CCN(CC1)c1cnccn1)Cc1n[nH]c(=O)c2c1NCCC2,C23H24FN7O2,449.48,33,18,0.35,5,6,2,130.93,107.11,2.48,1.14,0.70,1.62,3.04,1.80,-3.42,1.71e-01,3.81e-04,Soluble,-2.98,4.67e-01,1.04e-03,Soluble,-7.02,4.28e-05,9.53e-08,Poorly soluble,High,No,Yes,No,No,Yes,Yes,Yes,-8.23,0,1,0,0,0,0.55,0,0,1,3.70
CHEMBL3965443,Fc1ccc(cc1C(=O)N1CCN(CC1)c1cncnc1)Cc1n[nH]c(=O)c2c1NCCC2,C23H24FN7O2,449.48,33,18,0.35,5,6,2,130.93,107.11,2.68,1.22,0.70,1.62,3.04,1.85,-3.47,1.53e-01,3.40e-04,Soluble,-3.07,3.86e-01,8.58e-04,Soluble,-7.02,4.28e-05,9.53e-08,Poorly soluble,High,No,Yes,No,No,Yes,Yes,Yes,-8.18,0,1,0,0,0,0.55,0,0,1,3.62
CHEMBL3913202,Fc1ccc(cc1C(=O)N1CCN(CC1)c1ncncn1)Cc1n[nH]c(=O)c2c1NCCC2,C22H23FN8O2,450.47,33,18,0.36,5,7,2,128.72,120.00,2.82,1.33,0.09,1.45,2.48,1.63,-3.54,1.29e-01,2.85e-04,Soluble,-3.45,1.59e-01,3.54e-04,Soluble,-6.65,1.01e-04,2.25e-07,Poorly soluble,High,No,Yes,No,No,Yes,No,Yes,-8.10,0,0,0,0,0,0.55,0,0,1,3.57
CHEMBL3959274,Fc1ccc(cc1C(=O)N1CCN(CC1)CCN1CCCCC1)Cc1n[nH]c(=O)c2c1NCCC2,C26H35FN6O2,482.59,35,12,0.58,7,6,2,148.64,84.57,3.85,2.04,0.81,2.56,3.95,2.64,-3.91,5.95e-02,1.23e-04,Soluble,-3.44,1.74e-01,3.60e-04,Soluble,-6.75,8.62e-05,1.79e-07,Poorly soluble,High,No,Yes,No,No,No,Yes,Yes,-7.80,0,2,0,0,0,0.55,0,0,1,4.09
CHEMBL3945292,Fc1ccc(cc1C(=O)N1CCN(CC1)CCN1CCOCC1)Cc1n[nH]c(=O)c2c1NCCC2,C25H33FN6O3,484.57,35,12,0.56,7,7,2,144.92,93.80,3.69,0.83,-0.35,1.58,3.31,1.81,-3.16,3.36e-01,6.94e-04,Soluble,-2.38,2.01e+00,4.15e-03,Soluble,-6.21,3.01e-04,6.21e-07,Poorly soluble,High,No,Yes,No,No,No,Yes,Yes,-8.67,0,2,0,0,0,0.55,0,0,1,4.03
CHEMBL3906970,OCCN1CCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1NCCC2,C21H26FN5O3,415.46,30,12,0.48,6,6,3,121.07,101.56,2.79,0.48,-0.30,1.52,2.94,1.49,-2.62,1.00e+00,2.41e-03,Soluble,-2.18,2.73e+00,6.58e-03,Soluble,-5.52,1.27e-03,3.05e-06,Moderately soluble,High,No,Yes,No,No,No,No,No,-8.49,0,0,0,0,0,0.55,0,0,1,3.55
CHEMBL3951203,Fc1ccc(cc1C(=O)N1CCN(CC1)CCOc1ccccc1)Cc1n[nH]c(=O)c2c1NCCC2,C27H30FN5O3,491.56,36,18,0.37,8,6,2,145.92,90.56,3.48,2.83,1.78,2.81,4.51,3.08,-4.51,1.51e-02,3.07e-05,Moderately soluble,-4.39,2.00e-02,4.08e-05,Moderately soluble,-8.27,2.63e-06,5.36e-09,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.29,0,2,0,0,0,0.55,0,0,2,3.92
CHEMBL3950574,Fc1ccc(cc1C(=O)N1CCN(CC1)S(=O)(=O)c1ccccc1)Cc1n[nH]c(=O)c2c1NCCC2,C25H26FN5O4S,511.57,36,18,0.32,6,7,2,142.91,123.85,2.88,1.97,2.17,2.30,3.01,2.47,-4.23,3.03e-02,5.93e-05,Moderately soluble,-4.20,3.26e-02,6.36e-05,Moderately soluble,-7.62,1.22e-05,2.38e-08,Poorly soluble,High,No,Yes,No,No,Yes,No,Yes,-8.02,1,2,0,0,0,0.55,0,0,1,3.86
CHEMBL2058913,Fc1ccc(cc1C(=O)N1CCNCC1c1ccccc1)Cc1n[nH]c(=O)c2c1NCCC2,C25H26FN5O2,447.50,33,18,0.32,5,5,3,134.68,90.12,2.82,2.22,1.41,2.93,4.34,2.74,-4.09,3.66e-02,8.19e-05,Moderately soluble,-3.75,8.01e-02,1.79e-04,Soluble,-8.25,2.50e-06,5.60e-09,Poorly soluble,High,No,Yes,No,No,Yes,Yes,Yes,-7.45,0,1,0,0,0,0.55,0,0,1,4.11
CHEMBL2058911,Fc1ccc(cc1C(=O)N1CCNCC1)Cc1n[nH]c(=O)c2c1NCCC2,C19H22FN5O2,371.41,27,12,0.42,4,5,3,110.20,90.12,2.41,0.69,-0.01,1.86,3.23,1.63,-2.64,8.46e-01,2.28e-03,Soluble,-2.16,2.57e+00,6.92e-03,Soluble,-6.03,3.43e-04,9.25e-07,Poorly soluble,High,No,Yes,No,No,No,Yes,No,-8.08,0,0,0,0,0,0.55,0,0,1,3.29
