Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Z2161480682,O=C(N1Cc2cc3OCCOc3cc2C2(C1)CCCC2)CNc1ccccc1C(=O)N,C24H27N3O4,421.49,31,12,0.42,5,4,2,120.48,93.89,2.87,3.48,2.10,1.89,3.06,2.68,-4.60,1.05e-02,2.50e-05,Moderately soluble,-5.13,3.10e-03,7.34e-06,Moderately soluble,-6.11,3.29e-04,7.80e-07,Poorly soluble,High,No,Yes,No,No,Yes,Yes,Yes,-6.40,0,0,0,0,0,0.55,0,0,1,3.76
Z1268289573,O=C(N1CCC(=CC1)c1cc(C)c(c(c1)[N+](=O)[O-])N)CCn1c(=O)[nH]c(=O)c2c1cccc2,C23H23N5O5,449.46,33,16,0.26,6,5,2,131.63,147.01,2.26,1.99,1.82,1.85,1.08,1.80,-3.84,6.45e-02,1.44e-04,Soluble,-4.70,8.90e-03,1.98e-05,Moderately soluble,-5.35,2.00e-03,4.45e-06,Moderately soluble,Low,No,Yes,No,No,Yes,No,No,-7.63,0,1,1,1,0,0.55,0,3,1,3.68
Z2190292055,CN(C(=O)Nc1cccc(c1)N1C(=O)NC(C1=O)(C)C)Cc1nc2ccccc2c(=O)[nH]1,C22H22N6O4,434.45,32,16,0.23,6,5,3,126.25,127.50,2.93,0.97,1.32,1.64,1.56,1.68,-3.12,3.31e-01,7.61e-04,Soluble,-3.24,2.53e-01,5.82e-04,Soluble,-6.53,1.28e-04,2.94e-07,Poorly soluble,High,No,Yes,No,No,No,No,Yes,-8.26,0,0,0,0,0,0.55,0,1,1,3.20
Z31277306,COc1ccccc1NS(=O)(=O)c1cccc(c1)N1C(=O)/C(=C\Nc2ccccc2O)/c2c(C1=O)cccc2,C29H23N3O6S,541.57,39,24,0.03,7,6,3,151.12,133.42,3.70,4.36,5.16,2.04,2.74,3.60,-5.94,6.25e-04,1.15e-06,Moderately soluble,-6.88,7.18e-05,1.33e-07,Poorly soluble,-9.28,2.87e-07,5.30e-10,Poorly soluble,Low,No,No,No,Yes,Yes,No,Yes,-6.51,1,2,0,1,0,0.55,0,3,2,3.95
Z31703932,O=C(Nc1cccc(c1)S(=O)(=O)N)/C=C/c1cn(nc1c1cccc(c1)[N+](=O)[O-])c1ccccc1,C24H19N5O5S,489.50,35,23,0.00,8,7,2,132.74,161.28,2.02,3.21,4.53,1.46,0.21,2.28,-4.86,6.83e-03,1.39e-05,Moderately soluble,-6.27,2.63e-04,5.38e-07,Poorly soluble,-6.83,7.22e-05,1.48e-07,Poorly soluble,Low,No,No,No,Yes,Yes,No,Yes,-7.01,0,2,1,1,1,0.55,0,3,2,3.67
Z117018910,Fc1ccc(cc1)c1[nH]c2c(c1CCC(=O)N(Cc1nc3ccccc3c(=O)[nH]1)C)cccc2,C27H23FN4O2,454.50,34,25,0.15,7,4,2,131.39,81.85,3.26,4.00,5.07,3.68,6.29,4.46,-5.26,2.50e-03,5.50e-06,Moderately soluble,-5.42,1.72e-03,3.79e-06,Moderately soluble,-10.19,2.92e-08,6.43e-11,Insoluble,High,No,Yes,No,Yes,Yes,No,Yes,-6.23,0,1,0,0,0,0.55,0,0,2,3.29
Z145386636,O=C(c1ccc2c(c1)nc1n(c2=O)CCCCCC1)N(Cc1nc2ccccc2c(=O)[nH]1)C,C25H25N5O3,443.50,33,20,0.32,4,5,1,127.65,100.95,2.47,2.15,2.87,3.17,3.79,2.89,-4.13,3.30e-02,7.44e-05,Moderately soluble,-3.90,5.56e-02,1.25e-04,Soluble,-7.39,1.80e-05,4.06e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,No,No,-7.48,0,0,0,0,0,0.55,0,0,1,3.25
Z117018886,Fc1ccc2c(c1)c(CCC(=O)N(Cc1nc3ccccc3c(=O)[nH]1)C)c([nH]2)c1ccc(cc1)F,C27H22F2N4O2,472.49,35,25,0.15,7,5,2,131.35,81.85,3.16,4.10,5.63,4.05,6.71,4.73,-5.42,1.80e-03,3.81e-06,Moderately soluble,-5.52,1.41e-03,2.99e-06,Moderately soluble,-10.45,1.67e-08,3.53e-11,Insoluble,High,No,Yes,No,Yes,Yes,No,Yes,-6.27,0,2,0,0,0,0.55,0,0,2,3.34
Z45239769,O=C(c1ccc(cc1)NS(=O)(=O)c1cc(ccc1C)C(C)(C)C)O[C@@H](c1[nH]c(=O)c2c(n1)sc(c2C)C)C,C28H31N3O5S2,553.69,38,21,0.32,8,6,2,152.10,154.84,3.91,6.01,6.49,3.44,6.85,5.34,-6.94,6.36e-05,1.15e-07,Poorly soluble,-9.04,5.06e-07,9.13e-10,Poorly soluble,-9.77,9.40e-08,1.70e-10,Poorly soluble,Low,No,No,No,No,Yes,No,Yes,-5.41,1,3,1,2,2,0.55,0,0,3,4.79
Z8479530513,O=C(N([C@@H]1CCN(C1)C(=O)c1cc(Br)c(cc1N)Cl)Cc1cn(C)c(=O)n(c1=O)C)CCc1ccc2c(c1)CCCO2,C30H33BrClN5O5,658.97,42,18,0.40,9,5,1,169.36,119.87,4.50,3.49,2.76,3.16,4.10,3.60,-5.85,9.36e-04,1.42e-06,Moderately soluble,-5.69,1.35e-03,2.04e-06,Moderately soluble,-7.58,1.72e-05,2.61e-08,Poorly soluble,High,No,Yes,No,No,Yes,Yes,Yes,-7.84,1,3,0,0,1,0.55,0,1,2,4.50
Z3034661463,Fc1ccc(cc1C(=O)N1CCNCC1)Cc1n[nH]c(=O)c2c1cccc2,C20H19FN4O2,366.39,27,16,0.25,4,5,2,107.80,78.09,2.54,1.52,1.36,2.70,3.84,2.39,-3.24,2.09e-01,5.71e-04,Soluble,-2.77,6.25e-01,1.70e-03,Soluble,-6.83,5.41e-05,1.48e-07,Poorly soluble,High,No,Yes,Yes,No,No,Yes,No,-7.46,0,0,0,0,0,0.55,0,0,1,2.86
Z73479148,O=c1[nH]c2ccccc2c(c1)C(=O)Nc1cccc(c1)C(=O)NCC[C@H]1C(=O)Nc2c1cccc2,C27H22N4O4,466.49,35,22,0.11,8,4,4,136.21,120.16,2.31,2.10,2.87,2.67,4.17,2.82,-3.99,4.75e-02,1.02e-04,Soluble,-4.25,2.60e-02,5.58e-05,Moderately soluble,-9.57,1.25e-07,2.69e-10,Poorly soluble,High,No,Yes,Yes,Yes,Yes,No,Yes,-7.65,0,1,0,0,0,0.55,0,0,2,3.59
Z977445566,O=C(N1CC2(c3c1cccc3F)CCCC2)c1cccc(c1)n1c(C)c[nH]c1=O,C23H22FN3O2,391.44,29,17,0.30,3,3,1,113.21,58.10,3.41,3.78,4.12,4.02,4.47,3.96,-4.88,5.11e-03,1.31e-05,Moderately soluble,-4.69,7.92e-03,2.02e-05,Moderately soluble,-6.88,5.16e-05,1.32e-07,Poorly soluble,High,Yes,Yes,No,Yes,Yes,Yes,No,-6.00,0,0,0,0,0,0.55,0,0,2,3.50
Z855976658,N#C[C@H](C(=O)c1nn(c2c1CCC2)c1ccccc1C)c1nc2sc3c(c2c(=O)[nH]1)CCCC3,C26H23N5O2S,469.56,34,20,0.35,4,5,1,131.62,132.67,3.21,4.79,4.34,2.85,6.65,4.37,-5.94,5.39e-04,1.15e-06,Moderately soluble,-7.31,2.31e-05,4.92e-08,Poorly soluble,-7.82,7.17e-06,1.53e-08,Poorly soluble,Low,No,Yes,No,Yes,Yes,No,Yes,-5.76,0,1,0,1,0,0.55,0,0,2,4.46
Z215607078,O=C(C1CCN(CC1)c1ccc2n(n1)c(nn2)C(F)(F)F)O[C@@H](c1nc2ccccc2c(=O)[nH]1)C,C22H20F3N7O3,487.43,35,19,0.36,6,10,1,121.35,118.37,3.13,2.36,3.35,3.45,2.53,2.96,-4.35,2.15e-02,4.42e-05,Moderately soluble,-4.49,1.59e-02,3.27e-05,Moderately soluble,-6.04,4.48e-04,9.18e-07,Poorly soluble,High,No,Yes,Yes,Yes,Yes,No,No,-7.60,0,1,0,0,0,0.55,0,0,1,3.96
Z226319082,O=C(N(Cc1nc2ccccc2c(=O)[nH]1)Cc1ccccc1)c1ccc(cc1)N1C(=O)CCC1=O,C27H22N4O4,466.49,35,22,0.15,7,5,1,134.28,103.44,2.92,2.15,2.73,2.80,4.11,2.94,-4.09,3.79e-02,8.13e-05,Moderately soluble,-3.95,5.18e-02,1.11e-04,Soluble,-8.45,1.67e-06,3.59e-09,Poorly soluble,High,No,Yes,No,Yes,Yes,No,Yes,-7.62,0,1,0,0,0,0.55,0,1,1,2.90
Z226323080,O=C(c1ccc2c(c1)c(C)c([nH]2)C)N(Cc1nc2ccccc2c(=O)[nH]1)Cc1ccccc1,C27H24N4O2,436.51,33,25,0.15,6,3,2,131.02,81.85,2.96,4.26,4.56,3.58,6.00,4.27,-5.39,1.76e-03,4.03e-06,Moderately soluble,-5.69,8.90e-04,2.04e-06,Moderately soluble,-9.91,5.33e-08,1.22e-10,Poorly soluble,High,No,Yes,No,Yes,Yes,No,Yes,-5.94,0,1,0,0,0,0.55,1,0,2,2.99
Z226324916,O=C(N(Cc1nc2ccccc2c(=O)[nH]1)Cc1ccccc1)C1CCN(CC1)c1ccccc1[N+](=O)[O-],C28H27N5O4,497.55,37,22,0.25,8,5,1,147.13,115.12,2.39,3.82,3.59,2.77,2.38,2.99,-5.24,2.84e-03,5.71e-06,Moderately soluble,-5.93,5.81e-04,1.17e-06,Moderately soluble,-8.06,4.31e-06,8.67e-09,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.62,0,2,0,0,0,0.55,0,2,3,3.45
Z226331384,O=C(N(Cc1nc2ccccc2c(=O)[nH]1)Cc1ccccc1)/C=C/c1cccc2c1cccc2,C29H23N3O2,445.51,34,26,0.07,7,3,1,136.45,66.06,3.38,5.05,4.91,4.15,6.06,4.71,-5.89,5.77e-04,1.30e-06,Moderately soluble,-6.18,2.95e-04,6.62e-07,Poorly soluble,-10.01,4.36e-08,9.79e-11,Insoluble,High,Yes,No,No,Yes,Yes,No,Yes,-5.43,1,1,0,0,1,0.55,0,1,2,3.28
Z87557307,O=C(Nc1cccc(c1)S(=O)(=O)N1CCCCCC1)CCn1[nH]c(=O)c2c(c1=O)cccc2,C23H26N4O5S,470.54,33,16,0.35,7,6,2,130.56,129.72,2.67,1.78,2.79,2.56,2.15,2.39,-3.78,7.89e-02,1.68e-04,Soluble,-4.12,3.55e-02,7.54e-05,Moderately soluble,-6.43,1.76e-04,3.74e-07,Poorly soluble,High,No,Yes,No,No,Yes,No,No,-7.91,0,1,0,0,0,0.55,0,0,1,3.56
Z87583408,O=C(Nc1cccc(c1)S(=O)(=O)N(c1ccccc1)C)CCn1[nH]c(=O)c2c(c1=O)cccc2,C24H22N4O5S,478.52,34,22,0.12,8,5,2,130.75,129.72,2.70,2.14,3.43,2.56,2.11,2.59,-4.11,3.75e-02,7.84e-05,Moderately soluble,-4.50,1.53e-02,3.19e-05,Moderately soluble,-7.66,1.06e-05,2.21e-08,Poorly soluble,High,No,No,No,Yes,Yes,No,Yes,-7.70,0,1,0,0,0,0.55,0,0,2,3.48
Z105383360,Fc1ccc(cc1)C(c1ccc(cc1)F)N1CCN(CC1)[C@H](c1nc2ccccc2c(=O)[nH]1)C,C27H26F2N4O,460.52,34,22,0.26,5,6,1,136.57,52.23,4.16,4.36,4.10,4.39,5.60,4.52,-5.59,1.18e-03,2.57e-06,Moderately soluble,-5.17,3.10e-03,6.72e-06,Moderately soluble,-8.96,5.07e-07,1.10e-09,Poorly soluble,High,Yes,Yes,No,No,Yes,Yes,Yes,-6.01,1,1,0,0,0,0.55,0,0,2,3.71
Z104619600,O=c1[nH]c(CN2CCN(CC2)C(c2ccccc2)c2ccccc2)nc2c1cccc2C,C27H28N4O,424.54,32,22,0.26,5,4,1,136.81,52.23,3.80,4.13,2.90,3.66,5.07,3.91,-5.25,2.37e-03,5.59e-06,Moderately soluble,-4.93,4.95e-03,1.16e-05,Moderately soluble,-8.79,6.87e-07,1.62e-09,Poorly soluble,High,Yes,Yes,No,No,Yes,Yes,Yes,-5.96,0,1,0,0,0,0.55,0,0,2,3.19
Z98630797,O=C([C@H]1CCCN(C1)C1=NS(=O)(=O)c2c1cccc2)N[C@@H](c1ccc(c(c1)Cl)Cl)C,C21H21Cl2N3O3S,466.38,30,12,0.33,5,4,1,125.25,87.22,2.96,3.59,4.03,3.95,4.12,3.73,-4.96,5.12e-03,1.10e-05,Moderately soluble,-5.11,3.64e-03,7.80e-06,Moderately soluble,-7.17,3.19e-05,6.84e-08,Poorly soluble,High,No,Yes,Yes,Yes,Yes,No,Yes,-6.60,0,0,0,0,0,0.55,0,0,2,4.35
Z86328181,CN(c1nc(nc2c1cc(s2)c1ccccc1)c1ccccn1)Cc1nc2ccccc2c(=O)[nH]1,C27H20N6OS,476.55,35,31,0.07,5,5,1,140.70,115.90,3.50,4.80,5.14,3.32,6.08,4.57,-6.14,3.42e-04,7.18e-07,Poorly soluble,-6.97,5.15e-05,1.08e-07,Poorly soluble,-10.59,1.22e-08,2.57e-11,Insoluble,Low,No,No,No,No,Yes,No,Yes,-5.80,0,1,0,0,0,0.55,0,0,2,3.70
Z98301791,O=C(c1cc(=O)c2c([nH]1)cccc2)OCC(=O)N1N=C(C[C@H]1c1ccco1)c1cc2c(o1)cccc2,C27H19N3O6,481.46,36,24,0.11,7,7,1,138.00,118.11,3.94,3.96,3.32,1.25,4.76,3.45,-5.35,2.14e-03,4.45e-06,Moderately soluble,-6.14,3.48e-04,7.23e-07,Poorly soluble,-8.60,1.21e-06,2.52e-09,Poorly soluble,High,No,Yes,Yes,Yes,Yes,No,Yes,-6.43,0,2,0,0,0,0.55,0,0,2,4.38
Z287235050,O[C@@H](Cn1c2ccccc2c2c1cccc2)CN1C(=O)N[C@@](C1=O)(C)c1cccc(c1)n1cnnn1,C26H23N7O3,481.51,36,24,0.19,6,6,2,139.99,118.17,2.51,2.75,1.73,2.85,1.49,2.26,-4.66,1.07e-02,2.21e-05,Moderately soluble,-4.89,6.25e-03,1.30e-05,Moderately soluble,-6.93,5.62e-05,1.17e-07,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.28,0,2,0,0,0,0.55,0,1,1,4.07
Z107727780,N#C[C@]1(Cc2c(C)nn(c2N2[C@H]1CCCC2)c1ccccc1)c1nc2ccccc2c(=O)[nH]1,C26H24N6O,436.51,33,21,0.31,2,4,1,130.49,90.60,3.09,3.90,3.41,3.56,3.84,3.56,-5.34,1.98e-03,4.55e-06,Moderately soluble,-5.50,1.38e-03,3.16e-06,Moderately soluble,-7.68,9.18e-06,2.10e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.19,0,1,0,0,0,0.55,0,0,2,4.40
Z134705466,Fc1ccc(cc1)[C@@]1(C)NC(=O)N(C1=O)CC(=O)c1cc(n(c1C)Cc1ccc2c(c1)OCO2)C,C26H24FN3O5,477.48,35,17,0.27,6,6,1,132.13,89.87,3.71,3.48,3.22,1.90,4.36,3.33,-4.96,5.28e-03,1.11e-05,Moderately soluble,-5.05,4.26e-03,8.92e-06,Moderately soluble,-7.60,1.20e-05,2.51e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.74,0,1,0,0,0,0.55,0,1,1,3.86
Z5551413089,O=C(Nc1cccc(c1)S(=O)(=O)/N=C/1\CCCCCN1)NCC1=NS(=O)(=O)c2c(N1)cccc2,C21H24N6O5S2,504.58,34,12,0.29,7,7,4,139.11,174.95,2.03,0.92,2.91,2.25,1.06,1.83,-3.35,2.27e-01,4.50e-04,Soluble,-4.18,3.34e-02,6.61e-05,Moderately soluble,-7.15,3.60e-05,7.13e-08,Poorly soluble,Low,No,Yes,No,No,No,No,No,-8.72,2,2,1,1,1,0.17,0,1,1,4.44
Z5706770423,Cc1ccc(cc1)c1scc(n1)Cc1nc(nn1c1cnnc2c1cccc2)c1ccncc1,C26H19N7S,461.54,34,32,0.08,5,6,0,133.21,110.51,3.73,4.57,5.30,2.92,5.74,4.45,-5.95,5.21e-04,1.13e-06,Moderately soluble,-6.61,1.12e-04,2.43e-07,Poorly soluble,-10.22,2.81e-08,6.08e-11,Insoluble,Low,No,Yes,No,No,Yes,No,Yes,-5.87,0,1,0,0,0,0.55,0,0,2,3.84
Z6041610610,F[C@H]1Cn2c(C1)cc(n2)c1nc(nn1c1ccnc2c1nccc2)[C@H]1CCOc2c1cccc2,C25H20FN7O,453.47,34,26,0.24,3,7,0,123.29,83.54,3.28,3.22,4.30,2.50,3.10,3.28,-5.05,4.06e-03,8.95e-06,Moderately soluble,-4.65,1.02e-02,2.25e-05,Moderately soluble,-7.62,1.08e-05,2.39e-08,Poorly soluble,High,No,Yes,No,No,Yes,No,Yes,-6.78,0,0,0,0,0,0.55,0,0,1,4.58
Z7586397684,O=C(c1cccc(c1)Nc1nc2ccccc2c(=O)[nH]1)N1C[C@@H]2[C@H](C1)[C@@H]1C[C@H]2C=C1,C24H22N4O2,398.46,30,16,0.29,4,3,2,120.55,78.09,2.64,2.88,3.18,3.65,2.91,3.05,-4.26,2.21e-02,5.55e-05,Moderately soluble,-4.18,2.63e-02,6.61e-05,Moderately soluble,-6.11,3.08e-04,7.73e-07,Poorly soluble,High,Yes,Yes,Yes,No,Yes,Yes,No,-6.69,0,0,0,0,0,0.55,0,1,1,4.18
Z106113330,O=c1[nH]c(CN2CCN(CC2)S(=O)(=O)c2ccc3c(c2)OCCCO3)nc2c1cccc2C,C23H26N4O5S,470.54,33,16,0.39,4,8,1,131.32,113.21,2.85,1.82,2.07,1.34,2.56,2.13,-4.00,4.72e-02,1.00e-04,Soluble,-3.82,7.17e-02,1.52e-04,Soluble,-6.42,1.81e-04,3.84e-07,Poorly soluble,High,No,Yes,No,No,Yes,Yes,Yes,-7.88,0,1,0,0,0,0.55,0,0,1,3.72
Z7566922000,Fc1ccc2c(c1)c(n[nH]2)C(=O)N[C@H]([C@H]1COCC1)CNC(=O)c1cc2c([nH]1)c(C)ccc2,C24H24FN5O3,449.48,33,18,0.29,8,5,4,121.39,111.90,2.33,3.37,3.48,1.99,4.48,3.13,-4.63,1.06e-02,2.37e-05,Moderately soluble,-5.40,1.80e-03,4.00e-06,Moderately soluble,-7.93,5.29e-06,1.18e-08,Poorly soluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-6.65,0,0,0,0,0,0.55,0,0,2,3.84
Z8034648485,O=C1Nc2ccccc2C[C@H]1C(=O)N1CCN(CC1)C(c1nnn(c1)c1ccsc1C(=O)O)(C)C,C24H26N6O4S,494.57,35,16,0.38,6,7,2,140.83,148.90,2.84,-0.59,0.78,1.50,1.92,1.29,-2.48,1.65e+00,3.34e-03,Soluble,-2.07,4.25e+00,8.59e-03,Soluble,-4.64,1.14e-02,2.31e-05,Moderately soluble,Low,No,Yes,No,No,No,No,No,-9.74,0,2,1,1,0,0.55,0,1,1,4.38
Z7684281799,Cc1cccc2c1nc(nc2N1CC(C1)c1nnc2n1cccc2)N1CC[C@@H]2[C@@](C1)(F)C2(F)F,C24H22F3N7,465.47,34,19,0.42,3,7,0,127.74,62.45,3.73,4.69,4.27,4.31,2.99,4.00,-5.90,5.91e-04,1.27e-06,Moderately soluble,-5.73,8.68e-04,1.86e-06,Moderately soluble,-6.92,5.54e-05,1.19e-07,Poorly soluble,High,Yes,No,No,Yes,Yes,Yes,No,-5.81,1,0,0,0,0,0.55,0,0,2,4.44
Z8189617329,O=C(N1CCc2c(C1)c(F)c(c(c2)F)F)c1cccc(c1)Cn1nnc(c1)c1ccsc1C(=O)O,C24H17F3N4O3S,498.48,35,22,0.17,6,8,1,125.07,116.56,3.04,3.78,5.10,4.13,5.42,4.29,-5.38,2.07e-03,4.16e-06,Moderately soluble,-5.92,5.97e-04,1.20e-06,Moderately soluble,-7.41,1.93e-05,3.86e-08,Poorly soluble,Low,No,Yes,No,Yes,Yes,No,No,-6.66,0,1,0,0,0,0.56,0,1,2,3.55
